grid_size,paradigma,procesos,threads_por_proceso,total_threads,tiempo_ms
2048,Secuencial,1,1,1,82
2048,Compartido,1,1,1,82
2048,Compartido,1,2,2,37
2048,Compartido,1,4,4,17
2048,Compartido,1,8,8,14
2048,Distribuido,1,1,1,82
2048,Distribuido,2,1,2,29.0320
2048,Distribuido,4,1,4,12.1300
2048,Distribuido,8,1,8,17.4290
2048,Hibrido,1,1,1,82
2048,Hibrido,1,2,2,32.2290
2048,Hibrido,1,4,4,13.3260
2048,Hibrido,1,8,8,10.9680
2048,Hibrido,2,1,2,24.9560
2048,Hibrido,2,2,4,12.9300
2048,Hibrido,2,4,8,10.9690
2048,Hibrido,2,8,16,11.4640
2048,Hibrido,4,1,4,12.8910
2048,Hibrido,4,2,8,12.6280
2048,Hibrido,4,4,16,10.7610
2048,Hibrido,4,8,32,11.0650
2048,Hibrido,8,1,8,18.4500
2048,Hibrido,8,2,16,13.5590
2048,Hibrido,8,4,32,12.9620
2048,Hibrido,8,8,64,11.7320
4096,Secuencial,1,1,1,242
4096,Compartido,1,1,1,242
4096,Compartido,1,2,2,113
4096,Compartido,1,4,4,64
4096,Compartido,1,8,8,48
4096,Distribuido,1,1,1,242
4096,Distribuido,2,1,2,93.4280
4096,Distribuido,4,1,4,48.4090
4096,Distribuido,8,1,8,44.5610
4096,Hibrido,1,1,1,242
4096,Hibrido,1,2,2,99.7680
4096,Hibrido,1,4,4,55.0230
4096,Hibrido,1,8,8,40.4350
4096,Hibrido,2,1,2,98.6490
4096,Hibrido,2,2,4,51.3090
4096,Hibrido,2,4,8,42.9010
4096,Hibrido,2,8,16,43.8860
4096,Hibrido,4,1,4,51.2520
4096,Hibrido,4,2,8,41.3490
4096,Hibrido,4,4,16,48.7290
4096,Hibrido,4,8,32,41.5210
4096,Hibrido,8,1,8,42.8740
4096,Hibrido,8,2,16,53.9430
4096,Hibrido,8,4,32,49.6330
4096,Hibrido,8,8,64,44.9820
8192,Secuencial,1,1,1,955
8192,Compartido,1,1,1,955
8192,Compartido,1,2,2,426
8192,Compartido,1,4,4,230
8192,Compartido,1,8,8,180
8192,Distribuido,1,1,1,955
8192,Distribuido,2,1,2,372.1020
8192,Distribuido,4,1,4,192.7700
8192,Distribuido,8,1,8,161.3640
8192,Hibrido,1,1,1,955
8192,Hibrido,1,2,2,397.9740
8192,Hibrido,1,4,4,207.4340
8192,Hibrido,1,8,8,160.0800
8192,Hibrido,2,1,2,398.6920
8192,Hibrido,2,2,4,204.9690
8192,Hibrido,2,4,8,165.0910
8192,Hibrido,2,8,16,163.1740
8192,Hibrido,4,1,4,205.0510
8192,Hibrido,4,2,8,158.2060
8192,Hibrido,4,4,16,163.8720
8192,Hibrido,4,8,32,163.1980
8192,Hibrido,8,1,8,241.8560
8192,Hibrido,8,2,16,165.0950
8192,Hibrido,8,4,32,170.8430
8192,Hibrido,8,8,64,169.6210
16384,Secuencial,1,1,1,3798
16384,Compartido,1,1,1,3798
16384,Compartido,1,2,2,1679
16384,Compartido,1,4,4,907
16384,Compartido,1,8,8,657
16384,Distribuido,1,1,1,3798
16384,Distribuido,2,1,2,1486.8870
16384,Distribuido,4,1,4,781.8540
16384,Distribuido,8,1,8,734.4750
16384,Hibrido,1,1,1,3798
16384,Hibrido,1,2,2,1596.8440
16384,Hibrido,1,4,4,858.8300
16384,Hibrido,1,8,8,667.0780
16384,Hibrido,2,1,2,1621.7210
16384,Hibrido,2,2,4,827.8040
16384,Hibrido,2,4,8,659.0570
16384,Hibrido,2,8,16,644.2490
16384,Hibrido,4,1,4,825.4190
16384,Hibrido,4,2,8,652.5930
16384,Hibrido,4,4,16,635.0510
16384,Hibrido,4,8,32,645.1270
16384,Hibrido,8,1,8,695.7990
16384,Hibrido,8,2,16,651.0280
16384,Hibrido,8,4,32,654.5400
16384,Hibrido,8,8,64,641.3270
