paradigma,procesos,threads_por_proceso,total_threads,tiempo_ms
Secuencial,1,1,1,873
Compartido,1,1,1,873
Compartido,1,2,2,225.032
Compartido,1,3,3,154.59
Compartido,1,4,4,139.921
Distribuido,1,1,1,873
Distribuido,2,1,2,138.9494
Distribuido,3,1,3,97.0001
Distribuido,4,1,4,93.3108
Hibrido,1,1,1,873
Hibrido,1,2,2,300.6668
Hibrido,1,3,3,308.8243
Hibrido,1,4,4,307.0028
Hibrido,2,1,2,144.0037
Hibrido,2,2,4,150.0046
Hibrido,2,3,6,152.9541
Hibrido,2,4,8,156.9065
Hibrido,3,1,3,112.8744
Hibrido,3,2,6,106.5271
Hibrido,3,3,9,104.0141
Hibrido,3,4,12,105.7745
Hibrido,4,1,4,160.3726
Hibrido,4,2,8,98.5820
Hibrido,4,3,12,100.5728
Hibrido,4,4,16,127.4963
